AK-47 | Aquamarine Revenge 
Tec-9 | Re-Entry 
Tec-9 | Red Quartz 
Tec-9 | Remote Control 
Tec-9 | Rust Leaf 
Tec-9 | Sandstorm 
Tec-9 | Snek-9 
Tec-9 | Terrace 
Tec-9 | Titanium Bit 
Tec-9 | Tornado 
Tec-9 | Toxic 
Tec-9 | Urban DDPAT 
Tec-9 | VariCamo 
UMP-45 | Arctic Wolf 
UMP-45 | Blaze 
UMP-45 | Bone Pile 
UMP-45 | Briefing 
UMP-45 | Caramel 
UMP-45 | Carbon Fiber 
UMP-45 | Corporal 
UMP-45 | Crime Scene 
UMP-45 | Day Lily 
UMP-45 | Delusion 
UMP-45 | Exposure 
UMP-45 | Facility Dark 
UMP-45 | Fallout Warning 
UMP-45 | Gold Bismuth 
UMP-45 | Gold Bismuth :3
UMP-45 | Grand Prix 
UMP-45 | Gunsmoke 
UMP-45 | Houndstooth 
UMP-45 | Indigo 
UMP-45 | Labyrinth 
UMP-45 | Metal Flowers 
UMP-45 | Minotaur's Labyrinth 
UMP-45 | Momentum 
UMP-45 | Moonrise 
UMP-45 | Mudder 
UMP-45 | Plastique 
UMP-45 | Primal Saber 
UMP-45 | Riot 
UMP-45 | Scaffold 
UMP-45 | Scorched 
UMP-45 | Urban DDPAT 
USP-S | Ancient Visions 
USP-S | Blood Tiger 
USP-S | Blueprint 
USP-S | Business Class 
USP-S | Caiman 
USP-S | Check Engine 
USP-S | Cortex 
USP-S | Cyrex 
USP-S | Dark Water 
USP-S | Flashback 
USP-S | Forest Leaves 
USP-S | Guardian 
USP-S | Kill Confirmed 
USP-S | Lead Conduit 
USP-S | Monster Mashup 
USP-S | Neo-Noir 
USP-S | Night Ops 
USP-S | Orion 
USP-S | Overgrowth 
USP-S | Para Green 
USP-S | Pathfinder 
USP-S | Road Rash 
USP-S | Royal Blue 
USP-S | Serum 
USP-S | Stainless 
USP-S | Target Acquired 
USP-S | Torque 
XM1014 | Ancient Lore 
XM1014 | Banana Leaf 
XM1014 | Black Tie 
XM1014 | Blaze Orange 
XM1014 | Blue Spruce 
XM1014 | Blue Steel 
XM1014 | Bone Machine 
XM1014 | CaliCamo 
XM1014 | Charter 
XM1014 | Entombed 
XM1014 | Fallout Warning 
XM1014 | Frost Borre 
XM1014 | Grassland 
XM1014 | Heaven Guard 
XM1014 | Incinegator 
XM1014 | Jungle 
XM1014 | Oxide Blaze 
XM1014 | Quicksilver 
XM1014 | Red Leather 
XM1014 | Red Python 
XM1014 | Scumbria 
XM1014 | Seasons 
XM1014 | Slipstream 
XM1014 | Teclu Burner 
XM1014 | Tranquility 
XM1014 | Urban Perforated 
XM1014 | VariCamo Blue 
XM1014 | VariCamo Blue :6
XM1014 | Ziggy 
